question,answer
"在商标权人连续三年停止使用注册商标的情况下，下列说法哪个是正确的,( ) A 对于该商标，任何人均可以提出商标异议 
B 对于该商标，任何人均可以提出注册商标争议 
C 对于该商标，任何人均可以申请商标局予以撤销 
D 对于该商标，任何人均可以直接向商标局提出相同或类似商标的注册申请",C
"下列要素中，不能作为商标在我国申请注册的是（）
A. 字母和数字
B.国家名字
C.颜色组成",B
"根据《商标法》规定，不能作为商标专用权主体的是（）。
A.个体工商户
B.行政机关
C.个人合伙",B
"、依据《商标法》的规定，注册商标连续（）停止使用的，商标局可以撤销其注
册商标。
A.五年 
B.一年
C.三年",C
"商标的本质属性为（）。
A.独创性
B.区别性
C.原创性",B
"对初步审定的商标，自公告之日起（ ）个月内，任何人均可以提出异议。
A.1 
B.2 
C.3 
D.4",C
"下列主体中，不能申请集体商标的是（）。
A.团体
B.协会
C.自然人",C
"驳回申请、不予公告的商标，商标局应当书面通知商标注册申请人。商标注册申
请人不服的，可以自收到通知之日起十五日内向（）申请复审。
A.国家工商行政管理总局
B.中级人民法院
C.商标评审委员会",C
"下列说法中，不正确的是：（ ）
A.仅有本商品的通用名称、图形、型号的标志不得作为商标注册。
B.仅仅直接表示商品的质量、主要原料、功能、用途、重量、数量及其他特点的标志，不得作为商标注册。
C.含有地名的标志不得作为商标注册。",C
"注册商标有效期满，需要继续使用的，应当在期满前（）内申请续展注册；
在此期间未能提出申请的，可以给予（）的宽展期。
A.6个月 1年
B.1年 6个月
C.1年 1年",B
"注册商标的有效期为（）年。
A.10 
B.20 
C.5",A
"下列要素中，不能作为商标在我国申请注册的是（）。
A. 字母和数字 
B.国家名字
C.颜色组成",B
"根据《商标法》规定，不能作为商标专用权主体的是（）。
A.个体工商户
B.行政机关 
C.个人合伙",B
"依据《商标法》的规定，注册商标连续（）停止使用的，商标局可以撤销其注册商标。
A.五年 
B.一年 
C.三年",C
"商标的本质属性为（）。
A.独创性
B.区别性 
C.原创性",B
"对初步审定的商标，自公告之日起（）个月内，任何人均可以提出异议。
A.1     
B.2    
C.3    
D.4",C
"特殊标志有效期为（）年，自核准登记之日起计算。
A.10    
B.2   
C.4",C
"下列主体中，不能申请集体商标的是（）。
A.团体 
B.协会 
C.自然人",C
"驳回申请、不予公告的商标，商标局应当书面通知商标注册申请人。商标注册申请人不服的，可以自收到通知之日起十五日内向（）申请复审。
A.国家工商行政管理总局  
B.中级人民法院  
C.商标评审委员会",C
"下列说法中，不正确的是：（）
A.仅有本商品的通用名称、图形、型号的标志不得作为商标注册。
B.仅仅直接表示商品的质量、主要原料、功能、用途、重量、数量及其他特点的标志，不得作为商标注册。
C.含有地名的标志不得作为商标注册。",C
"对国外申请人通过马德里体系延伸到中国的商标申请，商标局的实质审查所依据的法律为（）。
A.《巴黎公约》 
B.《尼斯协定》  
C.《中华人民共和国商标法》  
D.《维也纳协定》",C
"下列各项，哪项不属于知识产权调整对象：（）。
A.商标   
B.专利    
C.姓名",C
"每年的（）是世界知识产权日。
A.3月20日   
B.4月26日  
C.5月24日",B
"注册商标有效期满，需要继续使用的，应当在期满前（）的宽展期。
A.6个月 1年  
B.12个月 6个月  
C.1年 1年",B
"注册商标的有效期为（）年。
A.10
B.20
C.5",A
"县级以上行政区划的地名或者公众知晓的外国地名，不得作为商标。但是，地名具有其他含义或者作为（）组成部分的除外。
A.集体商标、证明商标
B.商品商标
C.服务商标",A
"下列国家机关中，不能认定驰名商标的国家机关是：（）。
A.最高人民检察院
B.国家工商行政管理总局商标局
C.国家工商行政管理总局商标评审委员会",A
"（）是指在中国为相关公众广为知晓并享有较高声誉的商标。
A.驰名商标
B.集体商标
C.证明商标",A
"下列单位中不属于《奥林匹克标志条例》所称奥林匹克标志权利人的是（）。
A.国际奥林匹克委员会
B.中华全国体育总会
C.中国奥委会",B
"下列标志中，可以作为商标注册和使用的是：（）
A.五星红旗 
B.中国 
C.黄河
D.人民大会堂",C
"下列标志中，可以作为商标注册的是：（）
A.经过使用取得显著特征，并便于识别的标志
B.“红十字”、“红新月”标志
C.我国中央国家机关所在地特定地点的名称",A
"在我国法律体系中，对地理标志给予保护的法律是（）
A．商标法 
B．反不正当竞争法
C．专利法 
D．消费者权益保护法",A
"证明商标是用于证明该商品或者服务的（）
A.原产地、原料、制造方法、质量等其他特征
B.使用方式
C.提供者的来源",A
"商标的基本类型为：（）
A.商品商标、服务商标、集体商标、驰名商标
B.商品商标、服务商标、集体商标、证明商标
C.颜色商标、气味商标、集体商标、证明商标",B
"目前，我国对商标权的保护采取（）的保护模式。
A.行政保护
B.司法保护
C.行政保护和司法保护并行的“双轨制”",C
"地理标志可以作为（）向商标局申请注册。
A.集体商标或者证明商标
B.官方标志
C.特殊标志",A
"下列说法正确的是：（）
A.集体商标由该组织的成员共同使用
B.集体商标可以许可非该组织的成员使用
C.集体商标由对某种商品或服务具有监督能力的组织所控制，而由该组织以外的单位使用",A
"商标的使用，不包括：将商标用于（）。
A.商品、商品包装容器上
B.商品交易文书上
C.社会公益活动中",C
"商标注册的申请日期，以商标局（）的日期为准。
A.决定受理申请
B.收到申请文件
C.发出《商标受理通知书》",B
"一份商标注册申请书可以填写（）个类别的商品/服务项目。
A.1
B.2 
C.3",A
"同我国的国旗、国徽、军旗相同或者近似的标志，（）。
A.不得作为商标使用
B.不得作为商标注册,但可作为商标使用
C.只有中国企业才可以作为商标注册和使用",A
"外国人或者外国企业在中国申请商标注册，可以（） 。
A.直接向商标局提交商标注册申请
B.通过委托国家认可的具有商标代理资格的组织代理
C.既可直接向商标局提交，也可通过商标代理组织代理",B
"特殊标志是指经（）批准举办的全国性和国际性的文化、体育、科学研究及其他社会公益活动所使用的标志。
A.国务院
B.省级人民政府
C.国务院各部委及省级人民政府",A
"依据《商标法》的规定，国家工商行政管理总局商标评审委员会负责处理（）工作。
A.商标异议案件的裁定
B.商标注册 
C.商标争议案件的裁定",C
"对于恶意抢注驰名商标的行为，该驰名商标所有人（）。
A．应当向国家知识产权局提出撤销请求 
B．应当向商标评审委员会提出撤销请求
C．应当向商标局提起撤销请求 
D．可以直接向人民法院提起诉讼请求撤销",B
"下列商标中，不是地理标志的是：（）。
A.青岛啤酒 
B.武夷山大红袍
C.泰和乌鸡",A
"注册商标使用的文字、图形或者组合，应符合的条件是（）
A．新颖性 
B．创造性
C．有显著特征，便于识别 
D．富有美感并适于应用",C
"下列哪一项不属于认定驰名商标应当考虑的因素：（）
A.相关公众对该商标的知晓程度
B.该商标申请注册的时间
C.该商标任何宣传工作的持续时间、程度和地理范围",B
"地理标志产品的特定质量、信誉或者其他特征，主要由该地区的（）所决定。
A.自然因素
B.人文因素
C.自然因素或人文因素",C
"地理标志产品专用标志属于（）的范畴。
A.商标 
B.特殊标志 
C.官方标志",C
"共同申请注册同一商标的，应当在申请书中指定一个代表人，没有指定代表人的，（）。
A.以姓氏笔画顺序排列的第一人为代表人
B.以申请书中顺序排列的第一人为代表人
C.商标局不予受理",B
"甲食品厂将已经使用二年的“茂宇”文字商标向商标局提出注册申请，但同日提出相同商标申请的还有乙服装厂，乙服装厂未使用过该商标。根据我国《商标法》规定，商标局将初步审定并公告的商标申请人是（）
A．乙厂 
B．甲厂
C．甲厂和乙厂 
D．两厂都不予考虑",B
"下列申请注册的商标，将依法被驳回的是（）
A．在家具上申请注册“纯木”商标 
B．在商品房上申请注册“高宏”商标
C．在药品上申请注册“娥眉山”商标 
D．在电扇上申请注册“飞飞”商标",A
"注册商标因连续三年未使用，被商标局撤销，下列说法中正确的是（）。
A．该注册商标权自始即不存在 
B．商标权从撤销决定之日起终止
C．对已经履行的商标许可行为具有溯及力 
D．商标权从撤销决定六日起满三个月失效",B
"甲公司新近注册了一件中国商标，乙认为该商标违反商标法规定的商标禁用条款，依我国商标法规定请求有关机构撤销甲公司的该注册商标。这个机构是 （）
A. 商标局　 
B. 商标评审委员会 
C. 地方工商行政管理部门 
D. 人民法院",A
"下列各项中，不属于地理标志的主要构成要素的是（）。
A.独特的自然因素、人文因素
B.产品的特定品质
C.不确定的生产地域范围",C
"下列各项中，不属于《商标法》的基本原则的是：（）。
A.商标确权的评审终审原则
B.申请在先原则
C.统一注册、分级管理的原则",A
"依据《商标注册用商品与服务国际分类表》，商品与服务项目共分为（）个类别。
A.42 
B.45 
C.34",B
"作为集体商标、证明商标申请注册的地理标志，（）。
A.可以是该地理标志标示地区的名称，也可以是能够标示某商品来源于该地区的其他可视性标志
B.只能是该地理标志地区的名称
C.其名称由申请人自行设计，不在商标局审查范围之内",A
"某公司是“明月”商标的被许可人，依商标法规定，该公司使用“明月”商标时应当（）。
A．经商标局核准使用许可合同 
B．保证使用“明月”商标商品的质量
C．标明许可人的公司名称和地址 
D．及时提出“明月”商标的续展申请",B
"下列各项中，正确的表述是：（）
A.缺乏显著特征的标志经过使用取得显著特征，并便于识别的，可以作为商标注册
B.只要不侵犯他人的姓名权，任何人的名字都可以作为商标注册
C.外国的国家名称绝对不能注册",A
"对于欠缺显著性条件的注册商标，提出撤销该注册商标的请求人（）。
A．仅限于商标局 
B．仅限于商标评审委员会
C．仅限于有竞争关系的经营者 
D．可以是任何单位和个人",D
"注册商标有效期满，需要继续使用的，应当在期满前十二个月内申请续展注册；在此期间未能提出申请的，可以给予（）的宽展期。
A、6个月    
B、12个月    
C、3个月   
D、9个月",A
"经许可使用他人注册商标的，（）在使用该注册商标的商品上标明被许可人的名称和商品产地。
A、必须    
B、可以     
C、应该     
D、无需",A
"商标所有人认为他人将其驰名商标作为企业名称登记，对公众造成误解的，可以向（）申请撤销该企业名称。
A、国家工商总局商标局
B、企业名称登记主管机关
C、国家工商总局
D、商标评审委员会",B
"根据《商标法》的规定，有两个或两个以上的申请人在同种或类似商品上以相同或近似的商标申请注册，同一天申请的，初步审定并公告（）。
A．先申请的商标 
B．所有申请者的商标
C．先使用的商标 
D．由所有申请人协商确定",C
"商标注册人或者利害关系人申请人民法院采取证据保全措施后，应当在（）。
A、四十八小时内起诉，否则，人民法院将解除保全措施
B、二十四小时内起诉，否则，人民法院将解除保全措施
C、十五日内起诉，否则，人民法院将解除保全措施
D、七日内起诉，否则，人民法院将解除保全措施",C
"下列关于商标专用权取得的原则，符合我国商标法的规定的是（）
A．登记原则 
B．登记并公告原则
C．注册原则 
D．使用原则",C
"（）主管全国商标注册和管理的工作。
A、国家工商局
B、国务院工商行政管理部门商标局
C、知识产权局",B
"两个以上的自然人、法人或者其他组织可以共同向商标局申请注册同一商标，（）享有和行使该商标专用权。
A共同
B单独 
C可以单独也可以共同",A
"使用注册商标，其商品粗制滥造、以次充好，欺骗消费者的，商标局（）
A.可以撤销其注册商标        
B.不可以撤销其注册商标
C.可以停止其经营           
D.可以对其警告",A
"国家规定必须使用注册商标的商品，必须申请商标注册，（），不得在市场销售。
A未经申请 
B未经核准注册的
C未经初步审定",B
"同中华人民共和国的国家名称、国旗、国徽、军旗、勋章相同或者近似的，以及同中央国家机关所在地特定地点的名称或者标志性建筑物的名称、图形相同的商标（）
A不得作为商标使用
B可以作为商标使用
C经审核可以作为商标使用",A
"对已注册的商标有争议时，可从核准注册之日起内向商标评审委员会申请裁定的期限为（）
A.一年                     
B.六个月
C.三年                      
D.二年",C
"使用注册商标，自行改变注册商标的注册人名义、地址或者其他注册事项的，由（）
A 商标评审委员会评审 
B县级以上工商行政管理部门予以罚款
C商标局责令限期改正或者撤销其注册商标",C
"使用未注册商标冒充注册商标的，由（）予以制止，限期改正，并可以予以通报或者处以罚款。
A 地方工商行政管理部门 
B国家工商局商标局 
C商标评审委员会",A
"在同一种商品上，将与他人的注册商标近似的标志作为商品包装装潢使用，误导公众的，属于 （）
A 商标使用违法行为 
B 侵犯注册商标专用权的行为 
C 商标使用不当",B
"对侵犯注册商标专用权的行为，（）向工商行政管理机关投诉或者举报。
A 任何人都可以
B 必须是商标注册人
C必须是商标注册人或者利害关系人",A
"未经商标注册人许可，在（）商品上使用与其注册商标相同的商标，构成犯罪的，除赔偿被侵权人的损失外，依法追究刑事责任。
A同一种 
B 类似商品上
C 同一种类别",A
"商标法第十六条规定的地理标志，可以依照商标法及条例的规定，作为 （）商标注册。
A著名商标 
B集体商标或证明商标 
C特殊标志",B
"县级以上工商行政管理部门根据已经取得的违法嫌疑证据或者举报，对涉嫌侵犯他人注册商标专用权的行为进行查处时，对有证据证明是侵犯他人注册商标专用权的物品，（）
A可以查封或者扣押
B仅可以查封 
C仅可以扣押",A
"对商标局驳回商标注册申请不服的，申请人提出复审的受理机关是（）
A.人民法院                 
B.商标评审委员会
C.仲裁委员会               
D.中华商标协会",B
"自然人、法人或者其他组织对其生产、制造、加工、拣选或经销的商品，需要取得商标专用权的，应当向（）申请商标注册。
A县级以上工商行政管理部门 
B 商标局 
C 商标评审委员会",B
"自然人、法人或者其他组织对其提供的（），需要取得服务商标专用权的，应当向商标局申请服务商标注册。
A 服务项目 
B 商品
C 集体商标",A
"转让注册商标的受让人自（）起享有商标专用权。
A经商标局核准后，公告之日 
B转让合同签订时
C 向商标局提出转让申请之日",A
"对恶意注册的商标，驰名商标所有人不受（）时间限制可以请求撤销该注册商标。
A 5年
B 1年
C 10年",A
"注册商标需要在同一类的其他商品上使用的，（）注册申请。
A 应当另行
B 无需另行提出
C 视具体情况提出",A
"当事人对商标评审委员会的决定不服的，可以自收到通知之日内三十日内向（）。
A 国家工商行政管理局提出复议
B 国家工商行政管理局商标局提出复审
C 人民法院起诉",C
"故意为侵犯他人注册商标专用权行为提供仓储、运输、邮寄、隐匿等便利条件的，（）侵犯商标专用权行为。
A 属于 
B 视情节而定
C 不属于",A
"以团体，协会或者其他组织名义注册，供该组织成员在商事活动中使用，以表明使用者在该组织中的成员资格的标志是（）
A 集体商标 
B 证明商标 
C 服务商标",A
"由对某种商品或者服务具有监督能力的组织所控制，而由该组织以外的单位或者个人使用于其商品或者服务，用以证明该商品或者服务的原产地、原料、制造方法、质量或者其他特定品质的标志（） 
A 证明商标 
B 商品商标 
C 集体商标",A
"以欺骗手段取得的注册商标，被撤销的，丧失其商标专用权的起始日为（）
A.商标局发通知之日            
B.撤销公告之日
C.收缴注册证之日            
D.自商标注册之日",D
"对侵犯注册商标专用权的行为，工商行政管理部门有权依法查处；涉嫌犯罪的，应当（）
A 及时移送司法机关处理 
B 可以罚款放行 
C 从重予以行政处罚",A
"侵犯注册商标专用权行为之一，引起纠纷的，由当事人协商解决；不愿协商或协商不成的，商标注册人或者是利害关系人可以向人民法院起诉，也可以请求（）处理。
A 工商行政管理部门 
B 知识产权局
C 商标评审委员会",A
"工商行政管理机关认定商标侵权行为成立的，责令立即停止侵权行为，没收、销毁侵权商品和（）的工具，并可以处以罚款。
A 所有用于生产 
B仅专门用于制造侵权商品的工具 
C专门用于制造侵权商品、伪造注册商标标识的工具",C
"（）的地名或者公众知晓的外国地名，不得作为商标。但是，地名具有其他含义或者作为集体商标组成部分的除外；已经注册的使用地名的商标继续有效。
A 县级以上行政区划 
B 公众知晓 
C 市级以上行政区划",A
"就（）商品申请注册的商标是复制、摹仿或者翻译他人未为在中国注册的驰名商标，容易导致混淆的，不予注册并禁止使用。
A 相同或者类似 
B 相同 
C 类似、",A
"就（）商品申请注册的商标是复制、摹仿或者翻译他人已经在中国注册的驰名商标，误导公众，致使该驰名商标注册人的利益可能受到损害的，不予注册并禁止使用。
A 不相同或者不相类似
B 不相同
C 不相类似",A
"县级以上工商行政管理局对涉嫌侵犯他人注册商标专用权的行为进行查处时，可以查阅、复制当事人（）的合同、发票、帐簿以及其他有关资料。
A 与侵权活动有关 
B 所有
C 与生产相关的",A
"未经商标注册人的许可，在同一种商品或者类似商品上使用与其注册商标相同或者近似的商标的，属（）行为。
A 商标使用不当
B 商标使用违法 
C 侵犯注册商标专用权",C
"甲向乙转让“旭日”注册商标，乙从何时起享有该注册商标专用权（）。
A．甲乙签订转让合同之日 
B．甲商标注册证交付乙之日
C．甲乙共同向商标局提出转让申请之日 
D．商标局核准转让公告之日",D
"注册商标的有效期为（）起计算。                              
A．20年，自申请日           
B．10年，自申请日
C．20年，自核准之日        
D．10年，自核准之日",D
"下列文字商标中，显著性最高的是  （）
A．用在护肤品上的“凝脂”          
B．用在手机上的“光阴”
C．用在航运上的“贯科”            
D．用在手套上的“五指”
E．用在餐刀上的“不锈”",C
"使用注册商标，可以在商品、商品包装、说明书标明“注册商标”或注册标记?。注册标记应当标注在商标的（）。
A、右上角   
B、右上角或右下角  
C、右下角",B
"证明商标是用于证明该商品或服务的（）：
A、原产地、原料、制造方法、质量等其他特征
B、使用方式           
C、提供者的来源",A
"商品使用未经核准注册商标的，根据我国商标法的规定应当如何处理？（）
A．一律不得在市场上销售，违者应受行政处罚 
B．原则上不许在市场上销售，但商标法另有规定的除外 
C．一律可以在市场上销售，但其商标不受法律保护 
D．原则上可以在市场上销售，但商标法另有规定的除外",D
"依照我国商标法，对初步审定的商标，任何人均可提出异议的三个月的起算日期为（）
A.申请日 
B.公告日
C.注册日   
D.使用日",B
"我国商标法规定，商标使用许可合同应当（）
A.经过公证
B.报商标局批准
C.经过律师见证              
D.报商标局备案",D
"依我国商标法的规定，商标专用权授予符合法定条件的（）
A．商标设计人 
B．商标使用人
C．商标申请人
D．商标标识的制作人",C
"我国商标法规定下列哪种形式不能作为商标申请注册?（）
A．文字商标 
B．图形商标
C．文字与图形的组合商标 
D．气味商标",D
"“骆驼”是世界驰名的香烟商标，已在中国注册。某葡萄酒厂生产的“莹光”牌葡萄酒，其瓶贴和包装盒的文字、图形、色彩与“骆驼”商标基本相同。对此事的正确说法是（）
A．葡萄酒和香烟并非相同或类似产品，葡萄酒厂不构成侵权
B．葡萄酒厂将“骆驼”作为装渍使用，不存在侵权问题
C．葡萄酒厂已在其产品上标注有厂名、厂址，未构成侵权
D．“骆驼”是驰名商标，某葡萄酒厂的行为造成与该驰名商标的混淆，故构成侵权",D
"根据我国商标法规定，办理续展的申请时间只能是（）
A．期满前12个月内，期满后6个月内
B．期满前后各6个月内
C．期满后6个月内 
D．期满前后各12个月内",A
"甲厂自1995年起在其生产的炊具上使用“红灯笼”商标，并于1997年8月向商标局提出该商标的注册申请。乙厂早在1997年6月向商标局申请为其炊具产品注册“红灯笼”商标。该“红灯笼”商标专用权就应归属于（）
A．甲 
B．乙
C．甲和乙 
D．甲乙协商确定的一方",B
"某公司有一注册商标“苹果”被核定使用于洗衣机上。为了有效保护该商标，该公司在洗衣机上又申请注册了“红苹果”“青苹果”“黄苹果”三件商标，这三件商标是（）
A．联合商标 
B．防御商标 
C．集体商标 
D．证明商标",A
"在下列保护知识产权的国际公约中，最先规定保护驰名商标的是（）
A．伯尔尼公约 
B．与贸易有关的知识产权协议
C．商标国际注册马德里协定 
D．巴黎公约",D
"我国商标法规定商标构成的要素有（）
A. 文字、图形、字母、数字、气味、三维标志
B. 文字、图形、字母、数字、音乐、三维标志
C. 文字、图形、字母、数字、颜色组合、三维标志
D. 文字、图形、字母、数字、声响组合、三维标志",C
"商标权人对商标的规范使用应当是（）
A. 以核准注册的商标和核定使用的商品为限
B. 以核准注册的商标图形和核定使用的商品类别为限
C. 以与核准注册相同和相似的商标和核定使用相同和类似的商品为限
D. 以与核准注册的商标和核定使用的商品以及经营范围的所有商品名称为限",A
"甲公司2003年10月向国家商标局申请注册“天虹”商标，使用在家用电器上。2004年6月27日，国家商标局对“天虹”商标初步审定并予以公告。同样生产家用电器的乙公司发现该商标与本公司的注册商标十分近似。乙公司应当在下列哪个日期前向有关部门提出异议？（）
A．2004年7月27日 
B．2004年9月27日
C．2004年12月27日 
D．2005年6月27日",B
"转让注册商标的，转让人和受让人应当签订转让协议，并共同向商标局提出申请。受让人自何日起享有商标专用权？（）
A．自转让协议签订之日起
B．自双方向商标局提出申请之日起
C．自商标局核准之日起
D．自商标局公告之日起",D
"加利玛公司是一家生产销售红木家具的企业。2004年8月该公司拟使用含有下列标志的新商标。根据我国法律的规定，下列标志中不得作为商标使用的是（）
A．红领巾 
B．太行山
C．WIPO 
D．八达岭长城",A
"根据我国商标法，下列商品中必须使用注册商标的是（）
A．核磁共振治疗仪 
B．墙壁涂料
C．无糖饮料 
D．烟丝制品",D
"商标权人在注册商标有效期满前，未能办理续展注册手续，它可以在注册商标有效期满之日起多长时间内继续办理续展注册手续？（）
A．6个月 
B．9个月
C．12个月 
D．18个月",A
"依我国《商标法》规定，下列哪项可以作为商标提出注册申请（）
A．海浪的声音 
B．玫瑰花的气味
C．鸟鸣的声音 
D．风景图片",D
"A公司是一家生产体育用品的企业，公司可以选择下列哪一项作为商标使用（）
A．新奥运 
B．2008
C．红新月 
D．新世纪",D
"依我国《商标法》，取得商标专用权的原则是（）
A．注册原则 
B．使用原则
C．强制注册原则 
D．强制使用原则",A
"下列商标中，属于服务商标的是（）
A．“中华”轿车 
B．“凤凰”电视台
C．“海尔”冰箱 
D．“蒙牛”牛奶",B
"注册商标专用权范围确立的依据是（）
A．核准注册的商标图样 
B．核准注册的商标和核定使用的商品
C．申请人生产经营范围和经营项目 
D．申请书所记载的请求事项",B
"某自然人获准注册一个“蓝云”文字商标，该注册商标的有效期起算日为（）
A．该商标提出申请之日 
B．该商标初审公告之日 
C．该商标实际使用之日 
D．该商标核准注册之日",D
"下述选项中属于葡萄酒地理标志的是（）
A．“长城”葡萄酒 
B．“王朝”葡萄酒
C．“香槟”葡萄酒 
D．“云南红”葡萄酒",D
"我国商标法规定，注册商标需要在同一类的其他商品上使用的，应当() 
A.另行提出注册申请 
B.提出变更申请 
C.重新提出注册申请 
D.提出书面声明",A
"甲于2000年3月1日开始使用“风华”牌商标，乙于同年4月1日开始使用相同的商标。甲、乙均于2002年5月1日向商标局寄出注册“风华”商标的申请文件，但甲的申请文件于5月8日寄至，乙的文件于5月5日寄至。商标局应初步审定() 
A.同时公告，因甲、乙申请日期相同 
B.由商标局自由裁定 
C.公告乙的申请，因乙申请在先 
D.公告甲的申请",C
"下列标志，不可以作为商标使用的是() 
A.红新月 
B.长城 
C.两面针 
D.红星",A
"商标异议申请应当向() 
A.商标评审委员会提出 
B.人民法院提出 
C.商标局提出 
D.仲裁机构提出",C
"依照商标法第四十四条规定撤销的注册商标，其商标专用权() 
A.自撤销决定作出之日起不存在 
B.视为自始不存在 
C.自第三人申请之日起不存在 
D.自商标评审委员会受理之日起不存在",A
"我国商标法规定，商标注册人对其在同一种或类似商品上使用相同注册商标的，转让商标时() 
A.可以分割转让 
B.不得转让 
C.可以部分分割转让 
D.应当一并转让",D
"按照商标法规定，对于商标中含有商品的地理标志而该商品并非来源于该标志所标示的地区、容易误导公众的()
A. 不予注册并禁止使用，但已经善意取得注册的继续有效
B. 不予注册并禁止使用，已经取得注册的必须撤销
C. 不予注册但可以由该地区的任何人使用
D. 不予注册但可以作为未注册商标使用",A
"依我国商标法，未在中国注册的驰名商标的商标权人无权禁止他人() 
A.在非类似商品上使用与驰名商标近似的商标 
B.在同一种商品上使用与驰名商标相同的商标 
C.在同一种商品上使用与驰名商标近似的商标 
D.在类似的商品上使用与驰名商标相同的商标",A
"转让注册商标专有权的，转让人与受让人应当订立书面合同，共同向商标局提出商标转让的申请并经商标局公告。受让人享有商标专用权的起始日为（）
A．商标局公告日 
B．合同签订日
C．合同生效日 
D．受让人首次使用日",A
"某服装公司1995年以“宏达”作为公司名称在本市注册登记，次年又以“宏达”作为西服商标在国家商标局核准注册。根据有关规定（）
A.“宏达”企业名称权与“宏达”商标权可在全国有排他效力
B.“宏达”企业名称权在该市有排他效力，“宏达”商标权在全国有排他效力
C. “宏达” 企业名称权在全国有排他效力，“宏达” 商标权在该市有排他效力
D.“宏达”企业名称权与“宏达”商标权仅在该市有排他效力",B
"我国商标法规定，侵犯他人注册商标专用权造成商标权人损失的，行为人承担损害赔偿时，采取()。 
A.完全赔偿原则                    B.惩罚赔偿原则 
C.填平损失原则                    D.损益相抵原则",A
"以下诸选项中，不属于商标标识的有()。 
A.自行车上的商标铭牌              B.服装上的商标织带 
C.商品的特色包装                  D.日用品上的商标纸",C
"注册商标使用的文字、图形或者组合，应当符合的条件是（）
A．新颖性 
B．创造性
C．有显著特征，便于识别 
D．富有美感并适于应用",C
"某服装厂将其使用三年的“金叶”文字商标向商标局提出注册申请，但同日提出相同商标申请的还有某灯具厂，该厂未使用过该商标，商标局应将该商标授权于哪个厂？（）
A．服装厂                                      
B．灯具厂
C．两个厂协商，作为共同申请人  
D．两个厂的商标都将被授权",D
"申请注册的商标应当具有（）
A．独创性                                      
B．显著性
C．新颖性                                     
D．艺术性",B
"我国对商标注册申请实行的是（）
A．形式审查                                   
B．实质审查
C．登记制                                      
D．形式审查和实质审查",D
"注册商标人可以申请续展注册的期限一共为____，____满仍未提出申请的，注销其注册商标。（）
A．6个月，续展期                        
B．18个月，宽展期
C．6个月，宽展期                         
D．12个月，续展期",B
