question,answer
商标评审委员会依据商标法、实施条例和相关规则作出的决定和裁定，可以用书面形式或其他形式通知有关当事人。,错
商标评审委员会根据当事人的请求或者实际需要，可以决定对评审申请进行公开评审。,对
在商标评审程序中，当事人的商标权发生转让、移转的，受让人或者承继人应当及时以书面形式声明承受转让人的地位，参加后续评审程序并承担相应的评审后果。,对
与一方当事人有亲属关系、隶属关系或者其他密切关系的证人所作的对该当事人有利的证言不能作为认定案件事实的依据。,对
当事人向商标评审委员会提供书证的，必须提供原件，包括原本、正本和副本。,错
在发生注册商标专用权被侵害时，普通使用许可合同的被许可人可以在商标注册人不起诉的情况下，自行提起诉讼。,错
已注册驰名商标的所有人有权禁止他人在其驰名商标核定使用的商品以外的一切商品类别上使用与该驰名商标相同或近似的商标。,错
注册商标权利人可以自行变更注册商标的名义、地址或其他注册事宜。,错
商标注册人或者利害关系人在注册商标宽展期内提出续展申请，未获核准前，以他人侵犯其注册商标专用权提起诉讼的，人民法院不予受理。,错
我国商标局核准注册的商标在香港、澳门地区内也同样受到保护。,错
商标法所称相关公众，是指与商标所标识的某类商品或者服务有关的消费者和与前述商品或者服务的营销有密切关系的其他经营者。,对
注册商标的专用权以核准注册的商标和核定使用的商品为限。,对
申请商标注册的，应当按规定的商品分类表填报使用商标的商品类别和商品名称。,对
侵犯商标专用权的赔偿数额，为侵权人在侵权期间因侵权所获得的利益，或者被侵权人在被侵权期间因被侵权所受到的损失，但是，不包括被侵权人为制止侵权行为所支付的合理开支。,错
侵权人因侵权所得利益，或者被侵权人因被侵权所受损失难以确定的，由人民法院根据侵权行为的情节判决给予五十万元以下的赔偿。,对
某人率先将基地组织的头目本·拉登的名字作为商标向商标局申请注册，根据在先申请原则，商标局将予以核准注册。,错
侵犯注册商标专用权的诉讼时效为二年，自商标注册人或者利害权利人知道或者应当知道侵权行为之日起计算。商标注册人或者利害关系人超过二年起诉的，如果侵权行为在起诉时仍在持续，在该注册商标专用权有效期限内，人民法院应当判决被告停止侵权行为，侵权损害赔偿数额应当自权利人向人民法院起诉之日起向前推算二年计算。,对
不服国务院工商行政管理部门商标评审委员会作出的复审决定或者裁定的第一审案件，由北京市高级人民法院根据最高人民法院的授权确定其辖区内有关中级人民法院管辖。,对
商标局、商标评审委员会在认定驰名商标时，以商标法第十四条规定的各项因素为依据，以该商标满足商标法第十四条所规定的全部因素为前提。,错
人民法院受理的侵犯商标专用权纠纷案件，已经过工商行政管理部门处理的，人民法院仍应当就当事人民事争议的事实进行审查。,对
根据商标法规定，驰名商标保护应当遵循“被动保护，个案处理”的原则。,对
商标局、商标评审委员会以及地方工商行政管理部门在保护驰名商标时，应当考虑该商标的显著性和驰名程度。,对
任何行政区划地名或者公众知晓的外国地名，均可作为商标注册申请。,错
对侵犯注册商标专用权的行为，工商行政管理部门有权依法查处；涉嫌犯罪的，应当及时移送司法机关依法处理。,对
注册商标有效期满，需要继续使用的，应当在期满前六个月内申请续展注册；在此期间未能提出申请的，商标局将注销其注册商标。,错
商标评审委员会的国家机关工作人员可以从事商标代理业务,错
已经注册的商标，自该商标注册之日起满五年的，商标评审委员会不得以任何理由裁定撤销该注册商标。,错
对已注册的商标有争议时，可从核准注册之日起内向商标评审委员会申请裁定的期限为三年,错
